,description,generated_keywords
0,A crew of experienced educators helms our vast and growing library.,vast growing library educators crew
2,"Education is the process of facilitating learning, or the acquisition of knowledge, skills, values, beliefs, and habits.",education process values beliefs facilitating
3,Education Week talked to dozens of principals about strategies for building strong partnerships with teachers and heard from many teachers about what they ...,heard teachers strong building dozens
5,"Education, discipline that is concerned with methods of teaching and learning in schools or school-like environments as opposed to various nonformal and ...",school like discipline methods environments
6,"With New York sharply divided over gifted education, some parents point to a school in Harlem as proof that selective schools can be integrated.",point school integrated selective sharply
7,Forbes is a leading source for reliable news and updated analysis on Education.,reliable news analysis education updated
8,Fierce advocates for the high academic achievement of all students — particularly those of color or living in poverty.,students particularly poverty achievement fierce
9,Stanford Graduate School of Education (GSE) is a leader in pioneering new and better ways to achieve high-quality education for all.,quality education leader pioneering stanford
10,"The California Department of Education provides leadership, assistance, oversight and resources so that every Californian has access to an education that ...",education provides department oversight california
11,"We are a nonprofit, non-partisan communications organization dedicated to building support for student-focused improvements in public education from ...",public education communications improvements non
12,"The official Facebook for Education page is a professional learning community for educators to come together to share,...",come share educators official page
13,"Resources for teachers including information about school programs, teacher programs and classroom resources offered by the Monterey Bay Aquarium.",information school offered bay aquarium
14,"In fact, many aspects of learning — in homes, at schools, at work and elsewhere — are evolving ...",fact aspects learning schools homes
15,"The Atlantic covers news, politics, culture, technology, health, and more, through its articles, podcasts, videos, and flagship magazine.",news politics covers videos flagship
16,"These guidance documents, introductory videos, and publications provide an introduction to our roots, who we are, and the work we do.",provide introduction documents publications videos
17,"Education definition, the act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of ...",general knowledge definition powers acquiring
19,"Opening in Fall 2019, the MIT Schwarzman College of Computing is a cross-cutting entity with education and research links across all five schools.",education research opening 2019 mit
20,Google.org supports organizations that use technology and innovation to help more children get a better education.,better education innovation supports google
21,As the board of governors of the World Bank Group and the International Monetary Fund come ...,world bank board group monetary
22,The Trump administration calls its final rules on accreditation and state approval ...,state approval final calls accreditation
23,"It's time to give our schools the support they need to ensure that every student has access to a meaningful, high-quality public education.",need ensure public high meaningful
24,United Way focuses on cradle-to-career education strategies that provide a firm foundation at an early age and continue to help develop our children into ...,continue help age firm united
25,"The Washington Post Local Education section provides coverage and analysis of schools, home school and education policy for DC, Maryland and Virginia.",local education coverage analysis post
26,"Our mission is to improve learning by building capacity in schools, families, and communities through applied research and development.",learning building families mission applied
27,"Dean, College of Education and Technology.",college education technology dean
29,This work describes a systematic review of the research on take-home exams in tertiary education.,research home describes review exams
30,Education Next is a journal of opinion and research about education policy.,research education journal opinion policy
31,"Arduino Education is a dedicated team formed by education experts, content developers, engineers and interaction designers from all around the world.",education dedicated developers content formed
32,"Open Educational Resources (OER) are teaching, learning, and research materials in any medium that reside in the public domain or have been released under ...",open educational domain medium released
33,Our Nation's elementary and secondary education systems are falling behind the rest of the world.,rest world falling systems secondary
34,"It is the foundation by which we fulfill our collective promise to every student that if they work hard, they have a ...",work hard fulfill foundation student
35,The World Bank Group is the largest financier of education in the developing world.,world bank developing education group
36,"At a forum with teachers in Houston, Texas, Vice President Biden is outlining a plan that 1) provides educators the support and respect they need and deserve, ...",respect need vice outlining houston
37,"PK-12, undergraduate, graduate, postdoctoral and continuing education resources for educators and psychologists.",continuing education psychologists postdoctoral 12
38,"The Census Bureau provides information on a variety of educational topics, from educational attainment and school enrollment to school costs and financing.",school costs topics bureau attainment
39,"And yet, in one federal courtroom last week, a judge unmasked Education Secretary Betsy DeVos, holding her in civil contempt and ordering her department to ...",week judge ordering unmasked betsy
40,The NOAA Education Portal is your one-stop shop to connect with learning and teaching resources about the ocean and atmosphere.,teaching resources atmosphere shop portal
41,Arizona Department of Education ... Arizona Education Employment Board ... ADE Unveils New Comprehensive Education Calendar.,arizona education board calendar unveils
42,"US News ranks states on education, including K-12 and college, based on graduation rates, test scores and more.",education including news test ranks
43,"Apple technology helps teachers unleash the creativity in students with powerful products, support, and curricula for magical learning experiences.",students powerful magical products unleash
44,We will set all students on a path to success.,set students success path
45,"USAID is focused on improving reading skills in primary schools, by strengthening teaching techniques, materials, curricula and tests, ...",focused improving schools reading tests
46,"Mission To prepare leaders in education and to generate knowledge to improve student opportunity, achievement, and success.",knowledge improve student mission generate
47,"The OECD's work on education helps individuals and nations to identify and develop the knowledge and skills that drive better jobs and better lives, generate ...",better lives generate drive jobs
48,"1, Review of Educational Research, journal, 5.509 Q1, 132, 24, 88, 2827, 1080 ... 3, Sociology of Education, journal, 4.334 Q1, 82, 16, 59, 1082, 278, 52, 4.57 ...",82 16 educational 1080 q1
49,Data Systems; ELIS: Educator Licensure Information System · IWAS: ISBE Web Application Security ...,data systems educator isbe iwas
50,"With thousands of academic programs, world-class institutions, and unmatched flexibility, the United States offers a wealth of higher-education opportunities that ...",programs world higher class united
51,"Special Education State Advisory Panel ... Alternative Education Program (AEP) ... Career, Technical and Agricultural Education Plan of Study documents.",education plan agricultural documents panel
52,"Find out if you're eligible and how to apply for VA education benefits for Veterans, service members, and their qualified family members.",qualified family service apply veterans
53,"Training, learning resources, programmes and events from the Raspberry Pi Foundation's Education team.",education team events programmes raspberry
54,"Welcome to YouTube Learning, a new channel featuring some of the best how to, DIY, tutorial, and educational videos on YouTube.",youtube learning welcome channel featuring
55,CSWE's Commission on Accreditation is recognized by the Council for Higher Education Accreditation as the sole accrediting agency for social work education ...,work education council sole accrediting
56,"The Ventura County Office of Education offers training and support services to local schools, districts, educators and members of the community.",office education members districts offers
60,No information is available for this page.,information available page
61,"In the MSU College of Education, come prepared to learn and leave prepared to lead as an educator, researcher or health professional.",education come prepared lead researcher
62,SDSS Voyages is a custom resource for education focused explorers of the Sloan Digital Sky Survey.,education focused sky sdss voyages
63,"​​​​​​​​​​​​Whether you ​are looking for new ideas for health care improvement, want to get results in a particular area, or are ready to take your ...",improvement want new health area
64,GPB Education is a digital media and educational content provider for Georgia's educators and students.,education digital content provider georgia
65,Access our investor education resources to get started or further develop your investing and trading strategies.,develop investing education access trading
